MODEL,SCENARIO,REGION,1950,1955,1960,1965,1970,1975,1980,1985,1990,1995,2000,2005,2010,2015,2020,2025,2030,2035,2040,2045,2050,2055,2060,2065,2070,2075,2080,2085,2090,2095,2100,2105,2110,2115,2120,2125,2130,2135,2140,2145,2150
IIASA GDP,SSP1_v9_130219,BEL,,,,,,,,,,,,,33660.498754403736,38481.625298364655,45030.91107530047,53628.91048728523,62380.916613323345,70597.74035594045,77969.3484724439,84590.09799591746,90679.83370511906,96529.60078300333,102355.66980985693,108327.94858650576,114542.71453680684,120973.72528943176,127671.26283384669,134798.8041454275,142536.1391802709,150795.55888570283,159560.235567707,,,,,,,,,,
IIASA GDP,SSP1_v9_130219,BEN,,,,,,,,,,,,,1108.7039079165795,1191.4373705077812,1339.5846552646253,1585.447068506527,1906.0021730087399,2314.535350283739,2832.1537311641296,3495.991518616895,4334.999745972951,5349.06565554935,6534.758784531774,7891.989144595329,9424.877630074607,11117.16573370546,13126.555210009881,15437.8244111495,17963.35861460301,20546.723589844845,23114.629400058613,,,,,,,,,,
IIASA GDP,SSP1_v9_130219,BFA,,,,,,,,,,,,,860.5002489682332,910.1788843366128,968.9258707423502,1079.9147841115193,1256.0173878472929,1475.5337285627133,1771.0743826036157,2160.1779062015357,2639.6237259680925,3254.106237712126,4063.01214258984,5119.624951417531,6448.687768538853,8044.253302926435,9874.679140101482,11889.839660013486,14040.549512815727,16284.711344868847,18594.419014609073,,,,,,,,,,
IIASA GDP,SSP1_v9_130219,BGD,,,,,,,,,,,,,1444.3211779256883,1692.5384593156623,2010.060977140621,2367.1799921236716,2812.7016951542378,3367.0873435927506,4078.195347415196,4942.049197189473,5985.547078533084,7220.199956531783,8822.070878154274,10746.075480689105,12867.523100243863,14982.355912258716,16995.44097780745,18885.893577302304,20689.861268357432,22444.844525011147,24156.980889548828,,,,,,,,,,
IIASA GDP,SSP1_v9_130219,BGR,,,,,,,,,,,,,10500.81579566688,13802.27342359083,16404.298592882955,18832.00729086626,20944.32659149298,22780.308867946555,24449.46386645368,26062.59733208578,27648.390407307357,29224.431995440933,30788.97011546551,32474.44520542681,34404.00963846595,36639.026596731324,39172.87229273409,41952.609637140275,45024.21536381687,48335.659534501676,51870.06035707357,,,,,,,,,,
IIASA GDP,SSP1_v9_130219,BHR,,,,,,,,,,,,,21340.541133352974,28248.313103242417,34400.17632458415,38337.37007245575,42167.062010192596,45985.29537924307,49995.50568130679,54185.41861927324,58462.242495234284,62727.10332652094,66880.98586711216,70932.4128324341,74870.90915101193,78689.46033879444,82417.55669230143,86032.39371083047,89543.71510913015,93094.22241606255,97074.00209852277,,,,,,,,,,
IIASA GDP,SSP1_v9_130219,BHS,,,,,,,,,,,,,25494.754413304654,29973.67796014438,32185.183809701968,35430.3732068176,39300.37927251245,43300.54452295381,47356.59186276304,51489.55895931941,55612.751357970206,59754.25114581625,63948.290038582876,68300.09628778805,72800.96269665059,77441.86353212043,82254.49407206154,87235.23566666985,92504.02002043571,97926.17500632646,103448.56395032261,,,,,,,,,,
IIASA GDP,SSP1_v9_130219,BIH,,,,,,,,,,,,,8731.04042866268,10229.564371891802,14446.166045812713,18237.401208035073,21632.777150738675,24648.82077810328,27385.166951229436,29963.2171124169,32454.73369113788,34985.19770173588,37660.04970793281,40572.067026178396,43733.737131818685,47130.81780460474,50736.58638745323,54590.771525445016,58647.94010628718,62806.820875636244,67379.92727458886,,,,,,,,,,
IIASA GDP,SSP1_v9_130219,BLR,,,,,,,,,,,,,13014.26377781553,17913.545696504418,21990.94610119846,24537.929463066936,26282.39731678159,27684.959842901266,29084.835483011702,30592.56886568058,32243.793730482503,34144.13678785402,36399.49473528075,39044.574212832566,42046.95236524486,45364.47417913712,48953.89747714468,52779.33084284358,56809.852249955875,61127.1078795679,65814.76454269973,,,,,,,,,,
IIASA GDP,SSP1_v9_130219,BLZ,,,,,,,,,,,,,8345.29197232521,9430.781147413438,10884.216657041668,12876.874696395947,14825.839128932485,16669.994872077375,18472.12872458624,20311.61656967328,22327.280889262267,24482.08073030331,26698.325976521064,28869.013709403447,31647.23286682534,35037.82405356999,39003.873781755996,43356.27976347304,48076.59677321984,53095.21300214909,58449.47834642508,,,,,,,,,,
